Day,numGames,numSessions,DayNum,hasGame
10/15/13,0,2907,692,FALSE
10/21/12,11,3548,333,TRUE
1/12/15,0,5680,1146,FALSE
8/5/14,0,2057,986,FALSE
12/6/12,1,2461,379,TRUE
5/5/12,0,719,165,FALSE
2/16/15,0,5333,1181,FALSE
3/1/12,0,959,100,FALSE
2/1/14,0,5007,801,FALSE
9/29/12,0,4941,311,FALSE
11/7/14,0,4620,1080,FALSE
1/23/13,0,2483,427,FALSE
4/29/13,0,1195,523,FALSE
10/3/13,1,2699,680,TRUE
11/13/15,0,5833,1451,FALSE
9/1/12,0,6743,283,FALSE
8/28/14,0,11030,1009,FALSE
6/9/15,0,2055,1294,FALSE
11/14/13,1,2288,722,TRUE
9/3/13,0,4893,650,FALSE
3/12/13,0,1545,475,FALSE
6/13/15,0,2309,1298,FALSE
9/6/12,0,4471,288,FALSE
7/2/13,0,1046,587,FALSE
3/4/16,0,4516,1563,FALSE
5/25/12,0,595,184,FALSE
6/20/13,0,1008,575,FALSE
4/12/15,0,3197,1236,FALSE
4/11/13,0,1119,505,FALSE
9/9/12,13,5475,291,TRUE
10/6/13,12,3299,683,TRUE
11/24/13,12,3847,732,TRUE
5/15/16,0,2041,1635,FALSE
1/8/16,0,6723,1507,FALSE
6/15/13,0,1082,570,FALSE
1/12/16,0,5993,1511,FALSE
1/15/16,0,6585,1514,FALSE
1/11/13,0,2657,415,FALSE
1/6/16,0,6486,1505,FALSE
1/13/12,0,2034,56,FALSE
4/9/13,0,1151,503,FALSE
10/16/15,0,6530,1423,FALSE
3/20/13,0,1361,483,FALSE
2/18/16,0,4907,1548,FALSE
5/3/13,0,1109,527,FALSE
8/8/15,0,2626,1354,FALSE
6/16/12,0,584,206,FALSE
10/25/14,0,6656,1067,FALSE
7/28/14,0,2051,978,FALSE
10/19/13,0,3824,696,FALSE
10/16/13,0,2819,693,FALSE
3/20/16,0,4602,1579,FALSE
8/26/14,0,10086,1007,FALSE
4/8/14,0,1953,867,FALSE
8/15/13,0,1134,631,FALSE
1/7/15,0,4752,1141,FALSE
5/29/16,0,1447,1649,FALSE
2/24/15,0,3614,1189,FALSE
6/24/15,0,2145,1309,FALSE
1/10/14,0,4193,779,FALSE
9/17/15,1,8560,1394,TRUE
5/24/15,0,2609,1278,FALSE
6/27/15,0,2365,1312,FALSE
4/1/14,0,1981,860,FALSE
7/2/12,0,679,222,FALSE
12/3/14,0,4713,1106,FALSE
5/6/13,0,1057,530,FALSE
11/22/13,0,2844,730,FALSE
1/7/14,0,4734,776,FALSE
11/10/15,0,5836,1448,FALSE
10/18/13,0,3050,695,FALSE
6/12/12,0,647,202,FALSE
1/13/15,0,4797,1147,FALSE
11/17/12,0,2586,360,FALSE
6/14/16,0,1187,1665,FALSE
2/2/16,0,5892,1532,FALSE
3/17/15,0,2989,1210,FALSE
6/10/15,0,1981,1295,FALSE
3/25/13,0,1422,488,FALSE
2/11/16,0,5689,1541,FALSE
6/27/14,0,1545,947,FALSE
11/11/15,0,7325,1449,FALSE
5/23/15,0,2671,1277,FALSE
5/1/15,0,2449,1255,FALSE
1/15/12,0,2251,58,FALSE
6/14/12,0,571,204,FALSE
5/2/12,0,757,162,FALSE
3/1/15,0,4776,1194,FALSE
4/25/16,0,2411,1615,FALSE
7/11/15,0,2261,1326,FALSE
8/27/12,0,778,278,FALSE
9/20/15,14,10176,1397,TRUE
1/21/15,0,4039,1155,FALSE
